No GPU on this node, CUDA module not loaded
         103261 function calls (100735 primitive calls) in 369.667 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
    120/1    0.001    0.000  369.667  369.667 {built-in method builtins.exec}
        1    0.000    0.000  369.667  369.667 2_haversine.py:1(<module>)
        1  369.323  369.323  369.324  369.324 2_haversine.py:4(distance_matrix)
       14    0.001    0.000    0.743    0.053 __init__.py:1(<module>)
    159/4    0.002    0.000    0.336    0.084 <frozen importlib._bootstrap>:1349(_find_and_load)
    159/4    0.001    0.000    0.336    0.084 <frozen importlib._bootstrap>:1304(_find_and_load_unlocked)
    147/4    0.001    0.000    0.335    0.084 <frozen importlib._bootstrap>:911(_load_unlocked)
    118/4    0.001    0.000    0.334    0.084 <frozen importlib._bootstrap_external>:993(exec_module)
    389/8    0.001    0.000    0.331    0.041 <frozen importlib._bootstrap>:480(_call_with_frames_removed)
    373/9    0.000    0.000    0.309    0.034 {built-in method builtins.__import__}
   250/40    0.001    0.000    0.305    0.008 <frozen importlib._bootstrap>:1390(_handle_fromlist)
        1    0.000    0.000    0.130    0.130 __config__.py:1(<module>)
      118    0.002    0.000    0.109    0.001 <frozen importlib._bootstrap_external>:1066(get_code)
  147/143    0.000    0.000    0.093    0.001 <frozen importlib._bootstrap>:806(module_from_spec)
    28/27    0.000    0.000    0.088    0.003 <frozen importlib._bootstrap_external>:1291(create_module)
    28/27    0.084    0.003    0.087    0.003 {built-in method _imp.create_dynamic}
      118    0.001    0.000    0.080    0.001 <frozen importlib._bootstrap_external>:1187(get_data)
        1    0.000    0.000    0.064    0.064 _pickle.py:1(<module>)
    28/18    0.000    0.000    0.056    0.003 <frozen importlib._bootstrap_external>:1299(exec_module)
    28/18    0.017    0.001    0.056    0.003 {built-in method _imp.exec_dynamic}
        1    0.000    0.000    0.044    0.044 index_tricks.py:1(<module>)
        1    0.000    0.000    0.043    0.043 multiarray.py:1(<module>)
        1    0.000    0.000    0.042    0.042 overrides.py:1(<module>)
        1    0.000    0.000    0.039    0.039 secrets.py:1(<module>)
